# owner	name	descriptor	static	template	dataArg	slot	callbacks	resultSlot
# Collection, Map, Queue and views
java/lang/Iterable	iterator	()Ljava/util/Iterator;	false	RETURN_NEW	-	-	-	-
java/lang/Iterable	forEach	(Ljava/util/function/Consumer;)V	false	CALLBACK_VOID	-	-	0@java/util/function/Consumer#accept#(Ljava/lang/Object;)V#INTERFACE@slot:COLLECTION_ELEMENT	-
java/util/Collection	add	(Ljava/lang/Object;)Z	false	STORE	0	COLLECTION_ELEMENT	-	-
java/util/Collection	addAll	(Ljava/util/Collection;)Z	false	NO_OP	-	-	-	-
java/util/Collection	iterator	()Ljava/util/Iterator;	false	RETURN_NEW	-	-	-	-
java/util/Collection	stream	()Ljava/util/stream/Stream;	false	COPY_NEW	-	COLLECTION_ELEMENT	-	STREAM_ELEMENT
java/util/Collection	parallelStream	()Ljava/util/stream/Stream;	false	COPY_NEW	-	COLLECTION_ELEMENT	-	STREAM_ELEMENT
java/util/Collection	forEach	(Ljava/util/function/Consumer;)V	false	CALLBACK_VOID	-	-	0@java/util/function/Consumer#accept#(Ljava/lang/Object;)V#INTERFACE@slot:COLLECTION_ELEMENT	-
java/util/Iterator	next	()Ljava/lang/Object;	false	LOAD	-	COLLECTION_ELEMENT	-	-
java/util/Iterator	forEachRemaining	(Ljava/util/function/Consumer;)V	false	CALLBACK_VOID	-	-	0@java/util/function/Consumer#accept#(Ljava/lang/Object;)V#INTERFACE@slot:COLLECTION_ELEMENT	-
java/util/List	add	(Ljava/lang/Object;)Z	false	STORE	0	COLLECTION_ELEMENT	-	-
java/util/List	add	(ILjava/lang/Object;)V	false	STORE	1	COLLECTION_ELEMENT	-	-
java/util/List	get	(I)Ljava/lang/Object;	false	LOAD	-	COLLECTION_ELEMENT	-	-
java/util/List	set	(ILjava/lang/Object;)Ljava/lang/Object;	false	STORE	1	COLLECTION_ELEMENT	-	-
java/util/List	listIterator	()Ljava/util/ListIterator;	false	RETURN_NEW	-	-	-	-
java/util/List	subList	(II)Ljava/util/List;	false	RETURN_THIS	-	-	-	-
java/util/List	sort	(Ljava/util/Comparator;)V	false	CALLBACK_VOID	-	-	0@java/util/Comparator#compare#(Ljava/lang/Object;Ljava/lang/Object;)I#INTERFACE@slot:COLLECTION_ELEMENT,slot:COLLECTION_ELEMENT	-
java/util/Map	put	(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	false	MAP_STORE	-	-	-	-
java/util/Map	putIfAbsent	(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	false	MAP_STORE	-	-	-	-
java/util/Map	get	(Ljava/lang/Object;)Ljava/lang/Object;	false	LOAD	-	MAP_VALUE	-	-
java/util/Map	getOrDefault	(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	false	LOAD	-	MAP_VALUE	-	-
java/util/Map	keySet	()Ljava/util/Set;	false	COPY_NEW	-	MAP_KEY	-	COLLECTION_ELEMENT
java/util/Map	values	()Ljava/util/Collection;	false	COPY_NEW	-	MAP_VALUE	-	COLLECTION_ELEMENT
java/util/Map	entrySet	()Ljava/util/Set;	false	RETURN_NEW	-	-	-	-
java/util/Map	forEach	(Ljava/util/function/BiConsumer;)V	false	CALLBACK_VOID	-	-	0@java/util/function/BiConsumer#accept#(Ljava/lang/Object;Ljava/lang/Object;)V#INTERFACE@slot:MAP_KEY,slot:MAP_VALUE	-
java/util/Map	computeIfAbsent	(Ljava/lang/Object;Ljava/util/function/Function;)Ljava/lang/Object;	false	CALLBACK_RESULT	0	MAP_KEY	1@java/util/function/Function#apply#(Ljava/lang/Object;)Ljava/lang/Object;#INTERFACE@arg:0	MAP_VALUE
java/util/Map	computeIfPresent	(Ljava/lang/Object;Ljava/util/function/BiFunction;)Ljava/lang/Object;	false	CALLBACK_RESULT	0	MAP_KEY	1@java/util/function/BiFunction#apply#(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;#INTERFACE@arg:0,slot:MAP_VALUE	MAP_VALUE
java/util/Map	compute	(Ljava/lang/Object;Ljava/util/function/BiFunction;)Ljava/lang/Object;	false	CALLBACK_RESULT	0	MAP_KEY	1@java/util/function/BiFunction#apply#(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;#INTERFACE@arg:0,slot:MAP_VALUE	MAP_VALUE
java/util/Map	merge	(Ljava/lang/Object;Ljava/lang/Object;Ljava/util/function/BiFunction;)Ljava/lang/Object;	false	CALLBACK_RESULT	0	MAP_KEY	2@java/util/function/BiFunction#apply#(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;#INTERFACE@slot:MAP_VALUE,arg:1	MAP_VALUE
java/util/Map$Entry	getKey	()Ljava/lang/Object;	false	LOAD	-	MAP_KEY	-	-
java/util/Map$Entry	getValue	()Ljava/lang/Object;	false	LOAD	-	MAP_VALUE	-	-
java/util/Map$Entry	setValue	(Ljava/lang/Object;)Ljava/lang/Object;	false	STORE	0	MAP_VALUE	-	-
java/util/Queue	offer	(Ljava/lang/Object;)Z	false	STORE	0	COLLECTION_ELEMENT	-	-
java/util/Queue	add	(Ljava/lang/Object;)Z	false	STORE	0	COLLECTION_ELEMENT	-	-
java/util/Queue	poll	()Ljava/lang/Object;	false	LOAD	-	COLLECTION_ELEMENT	-	-
java/util/Queue	peek	()Ljava/lang/Object;	false	LOAD	-	COLLECTION_ELEMENT	-	-
java/util/Deque	push	(Ljava/lang/Object;)V	false	STORE	0	COLLECTION_ELEMENT	-	-
java/util/Deque	pop	()Ljava/lang/Object;	false	LOAD	-	COLLECTION_ELEMENT	-	-
java/util/Deque	offerFirst	(Ljava/lang/Object;)Z	false	STORE	0	COLLECTION_ELEMENT	-	-
java/util/Deque	offerLast	(Ljava/lang/Object;)Z	false	STORE	0	COLLECTION_ELEMENT	-	-
java/util/Deque	pollFirst	()Ljava/lang/Object;	false	LOAD	-	COLLECTION_ELEMENT	-	-
java/util/Deque	pollLast	()Ljava/lang/Object;	false	LOAD	-	COLLECTION_ELEMENT	-	-
java/util/Collections	sort	(Ljava/util/List;Ljava/util/Comparator;)V	true	CALLBACK_VOID	-	-	1@java/util/Comparator#compare#(Ljava/lang/Object;Ljava/lang/Object;)I#INTERFACE@slot:COLLECTION_ELEMENT,slot:COLLECTION_ELEMENT	-
java/util/Arrays	asList	([Ljava/lang/Object;)Ljava/util/List;	true	STORE_RETURN_NEW	0	COLLECTION_ELEMENT	-	-

# Stream and Optional
java/util/stream/Stream	empty	()Ljava/util/stream/Stream;	true	RETURN_NEW	-	-	-	-
java/util/stream/Stream	of	(Ljava/lang/Object;)Ljava/util/stream/Stream;	true	STORE_RETURN_NEW	0	STREAM_ELEMENT	-	-
java/util/stream/Stream	generate	(Ljava/util/function/Supplier;)Ljava/util/stream/Stream;	true	CALLBACK_NEW	-	-	0@java/util/function/Supplier#get#()Ljava/lang/Object;#INTERFACE@-	STREAM_ELEMENT
java/util/stream/Stream	iterate	(Ljava/lang/Object;Ljava/util/function/UnaryOperator;)Ljava/util/stream/Stream;	true	CALLBACK_NEW	0	STREAM_ELEMENT	1@java/util/function/UnaryOperator#apply#(Ljava/lang/Object;)Ljava/lang/Object;#INTERFACE@arg:0	STREAM_ELEMENT
java/util/stream/Stream	filter	(Ljava/util/function/Predicate;)Ljava/util/stream/Stream;	false	CALLBACK_THIS	-	-	0@java/util/function/Predicate#test#(Ljava/lang/Object;)Z#INTERFACE@slot:STREAM_ELEMENT	-
java/util/stream/Stream	map	(Ljava/util/function/Function;)Ljava/util/stream/Stream;	false	CALLBACK_NEW	-	-	0@java/util/function/Function#apply#(Ljava/lang/Object;)Ljava/lang/Object;#INTERFACE@slot:STREAM_ELEMENT	STREAM_ELEMENT
java/util/stream/Stream	flatMap	(Ljava/util/function/Function;)Ljava/util/stream/Stream;	false	CALLBACK_NEW	-	-	0@java/util/function/Function#apply#(Ljava/lang/Object;)Ljava/lang/Object;#INTERFACE@slot:STREAM_ELEMENT	-
java/util/stream/Stream	peek	(Ljava/util/function/Consumer;)Ljava/util/stream/Stream;	false	CALLBACK_THIS	-	-	0@java/util/function/Consumer#accept#(Ljava/lang/Object;)V#INTERFACE@slot:STREAM_ELEMENT	-
java/util/stream/Stream	sorted	(Ljava/util/Comparator;)Ljava/util/stream/Stream;	false	CALLBACK_THIS	-	-	0@java/util/Comparator#compare#(Ljava/lang/Object;Ljava/lang/Object;)I#INTERFACE@slot:STREAM_ELEMENT,slot:STREAM_ELEMENT	-
java/util/stream/Stream	forEach	(Ljava/util/function/Consumer;)V	false	CALLBACK_VOID	-	-	0@java/util/function/Consumer#accept#(Ljava/lang/Object;)V#INTERFACE@slot:STREAM_ELEMENT	-
java/util/stream/Stream	forEachOrdered	(Ljava/util/function/Consumer;)V	false	CALLBACK_VOID	-	-	0@java/util/function/Consumer#accept#(Ljava/lang/Object;)V#INTERFACE@slot:STREAM_ELEMENT	-
